key,Created Date,data,Incident Zip,Incident Address,Street Name,City,Status,Community Board,Borough,latitude,longitude
29526879,12/17/2014 09:15:00 AM,Cloudy Or Milky Water (QB1),11203,4622 AVENUE D,AVENUE D,BROOKLYN,Closed,17 BROOKLYN,BROOKLYN,40.64190283619112,-73.93293515163778
29514412,12/16/2014 03:18:00 PM,Cloudy Or Milky Water (QB1),10031,474 WEST 150 STREET,WEST 150 STREET,NEW YORK,Closed,09 MANHATTAN,MANHATTAN,40.82814057502251,-73.9447005639429
29520717,12/16/2014 01:04:00 PM,"Cloudy Or Milky, Other (Use Comments) (QBZ)",10031,474 WEST 150 STREET,WEST 150 STREET,NEW YORK,Closed,09 MANHATTAN,MANHATTAN,40.82814057502251,-73.9447005639429
29515465,12/16/2014 11:39:00 AM,Clear Water With Other Particles (Use Comments) (QEZ),11205,31 KOSCIUSKO STREET,KOSCIUSKO STREET,BROOKLYN,Closed,03 BROOKLYN,BROOKLYN,40.690355695788206,-73.95379000016959
29501362,12/15/2014 08:56:00 PM,"No Sampling Required, Requested Information (QG2)",10456,1191 CLAY AVENUE,CLAY AVENUE,BRONX,Closed,04 BRONX,BRONX,40.83209915982579,-73.91078351068178
29502548,12/15/2014 07:52:00 PM,"Taste/Odor, Chlorine (QA1)",11228,1525 84 STREET,84 STREET,BROOKLYN,Closed,11 BROOKLYN,BROOKLYN,40.61217411188139,-74.00755998355675
29512218,12/15/2014 03:27:00 PM,"Taste/Odor, Musty/Stale (QA4)",11412,194-30 115 DRIVE,115 DRIVE,Saint Albans,Closed,12 QUEENS,QUEENS,40.695208819830526,-73.75859032667042
29509024,12/15/2014 02:13:00 PM,"Taste/Odor, Sewer (QA5)",10031,706 RIVERSIDE DRIVE,RIVERSIDE DRIVE,NEW YORK,Closed,09 MANHATTAN,MANHATTAN,40.82871687088971,-73.9505357732226
29499436,12/15/2014 10:50:00 AM,"Taste/Odor, Chemical (QA2)",11209,7618 COLONIAL ROAD,COLONIAL ROAD,BROOKLYN,Closed,10 BROOKLYN,BROOKLYN,40.63182766297029,-74.03354177041703
29501613,12/15/2014 10:20:00 AM,Clear Water With Other Particles (Use Comments) (QEZ),11216,1154 PACIFIC STREET,PACIFIC STREET,BROOKLYN,Closed,08 BROOKLYN,BROOKLYN,40.67806740339903,-73.95392109390666
29494276,12/14/2014 03:38:00 PM,Cloudy Or Milky Water (QB1),11692,6918 CATAMARAN WAY,CATAMARAN WAY,Arverne,Closed,14 QUEENS,QUEENS,40.5882007026558,-73.79873666414655
29495822,12/14/2014 02:01:00 PM,Clear Water With Other Particles (Use Comments) (QEZ),11374,97-25 64 AVENUE,64 AVENUE,Rego Park,Closed,06 QUEENS,QUEENS,40.729881161317024,-73.85988418138248
29491166,12/13/2014 04:35:00 AM,"No Sampling Required, Requested Information (QG2)",11374,98-10 64 AVENUE,64 AVENUE,Rego Park,Closed,06 QUEENS,QUEENS,40.73042781783843,-73.85801042624362
29488993,12/12/2014 07:34:00 PM,Clear Water With Other Particles (Use Comments) (QEZ),11212,148 GRAFTON STREET,GRAFTON STREET,BROOKLYN,Closed,16 BROOKLYN,BROOKLYN,40.66478757637856,-73.91825964922944
29488982,12/12/2014 02:28:00 PM,"Oil, Grease In Water (QD1)",10025,60 MANHATTAN AVENUE,MANHATTAN AVENUE,NEW YORK,Closed,07 MANHATTAN,MANHATTAN,40.79648205927551,-73.9630489121085
